Player,Mat,Inns,Ov,Runs,Avg,Econ,SR,4w,5w,Wkts
Yuzvendra Chahal,17,17,68,527,19.51,7.75,15.11,1,1,27
Wanindu Hasaranga,16,16,57,430,16.53,7.54,13.15,1,1,26
Kagiso Rabada,13,13,48,406,17.65,8.45,12.52,2,0,23
Umran Malik,14,14,49.1,444,20.18,9.03,13.4,1,1,22
Kuldeep Yadav,14,14,49.4,419,19.95,8.43,14.19,2,0,21
Mohammad Shami,16,16,61,488,24.4,8,18.3,0,0,20
Josh Hazlewood,12,12,46.3,377,18.85,8.1,13.95,1,0,20
Rashid Khan,16,16,63.5,421,22.15,6.59,20.15,1,0,19
Harshal Patel,15,15,53.3,410,21.57,7.66,16.89,1,0,19
Prasidh Krishna,17,17,66.3,551,29,8.28,21,0,0,19
Avesh Khan,13,13,47.4,416,23.11,8.72,15.88,1,0,18
T Natarajan,11,11,43,406,22.55,9.44,14.33,0,0,18
Andre Russell,14,13,28.1,278,16.35,9.86,9.94,1,0,17
Umesh Yadav,12,12,48,339,21.18,7.06,18,1,0,16
Trent Boult,16,16,62,492,30.75,7.93,23.25,0,0,16
Khaleel Ahmed,10,10,39.1,315,19.68,8.04,14.68,0,0,16
Dwayne Bravo,10,10,34.2,299,18.68,8.7,12.87,0,0,16
Mukesh Choudhary,13,13,45.3,424,26.5,9.31,17.06,1,0,16
Jasprit Bumrah,14,14,53.2,383,25.53,7.18,21.33,0,1,15
Shardul Thakur,14,14,48.2,473,31.53,9.78,19.33,1,0,15
Mohsin Khan,9,9,33,197,14.07,5.96,14.14,1,0,14
Rahul Chahar,13,13,46.4,360,25.71,7.71,20,0,0,14
Tim Southee,9,9,35,275,19.64,7.85,15,0,0,14
Jason Holder,12,12,41.3,391,27.92,9.42,17.78,0,0,14
Ravi Bishnoi,14,14,54,456,35.07,8.44,24.92,0,0,13
Daniel Sams,11,11,42,370,28.46,8.8,19.38,1,0,13
Bhuvneshwar Kumar,14,14,52.1,383,31.91,7.34,26.08,0,0,12
Maheesh Theekshana,9,9,35,261,21.75,7.45,17.5,1,0,12
Ravichandran Ashwin,17,17,67,503,41.91,7.5,33.5,0,0,12
Lockie Ferguson,13,13,47.4,427,35.58,8.95,23.83,1,0,12
Obed McCoy,7,7,25.5,237,21.54,9.17,14.09,0,0,11
Yash Dayal,9,9,32,296,26.9,9.25,17.45,0,0,11
Krunal Pandya,14,12,38,265,26.5,6.97,22.8,0,0,10
Arshdeep Singh,14,14,50,385,38.5,7.7,30,0,0,10
Sunil Narine,14,14,56,312,34.66,5.57,37.33,0,0,9
Murugan Ashwin,8,8,29,228,25.33,7.86,19.33,0,0,9
Dushmantha Chameera,12,12,44,384,42.66,8.72,29.33,0,0,9
Anrich Nortje,6,6,22.2,217,24.11,9.71,14.88,0,0,9
Mohammed Siraj,15,15,51,514,57.11,10.07,34,0,0,9
Moeen Ali,10,10,23.5,158,19.75,6.62,17.87,0,0,8
Hardik Pandya,15,10,30.3,222,27.75,7.27,22.87,0,0,8
Mustafizur Rahman,8,8,32,244,30.5,7.62,24,0,0,8
Riley Meredith,8,8,28,236,29.5,8.42,21,0,0,8
Kuldeep Sen,7,7,25.1,237,29.62,9.41,18.87,1,0,8
